key,zh,en
case.phases.phase-04.title,区域营销：跨市场传播视觉与 KV 套件系统,Regional Marketing: Cross-Market Visual & KV Kit System
case.phases.phase-04.desc,"用套件化 KV 与模块化规则，实现跨市场传播资产的快速适配与规模化生产。","Achieving rapid adaptation and scalable production of cross-market communication assets through modular KV kits and systematic rules."
case.phases.phase-04.screens.intro.content,"用套件化 KV 与模块化规则，实现跨市场传播资产的快速适配与规模化生产。","Achieving rapid adaptation and scalable production of cross-market communication assets through modular KV kits and systematic rules."
case.phases.phase-04.screens.packaging-intro.content,"用「分层定价包装体系（袋装/圆盒/铁盒）」的模块化设计，把同一产品按入门-主流-高端拆成清晰可扩展的包装方案，兼顾开市场、建认知与拉升品牌档次。","Using a modular「tiered pricing packaging system (bag/round box/tin box)」design to split the same product into entry-level, mainstream, and premium packaging solutions, balancing market entry, brand recognition, and premium positioning."
case.phases.phase-04.screens.packaging-bag-series.title,袋装系列包装,Bag Series Packaging
case.phases.phase-04.screens.packaging-bag-series.content,袋装产品包装设计展示。,Bag product packaging design showcase.
case.phases.phase-04.screens.packaging-grid.title,分层定价包装体系,Tiered Pricing Packaging System
case.phases.phase-04.screens.packaging-grid.content,"用「分层定价包装体系（袋装/圆盒/铁盒）」的模块化设计，把同一产品按入门-主流-高端拆成清晰可扩展的包装方案，兼顾开市场、建认知与拉升品牌档次。","Using a modular「tiered pricing packaging system (bag/round box/tin box)」design to split the same product into entry-level, mainstream, and premium packaging solutions, balancing market entry, brand recognition, and premium positioning."
case.phases.phase-04.screens.kv-marquee.title,主视觉呈现,Key Visual System
case.phases.phase-04.screens.kv-marquee.content,"用「主视觉 KV 系统」的模块化设计，把多产品/多活动的核心主张统一到同一动效与版式语言中，支撑官网连续叙事与高识别品牌呈现。","Using a modular「Key Visual System」design to unify the core propositions of multiple products/campaigns into consistent motion effects and layout language, supporting continuous website storytelling and highly recognizable brand presentation."
case.phases.phase-04.screens.kv-popup.title,主视觉全屏展示,Key Visual Fullscreen
case.phases.phase-04.screens.kv-popup.content,"用「主视觉 KV 系统」的模块化设计，把多产品/多活动的核心主张统一到同一动效与版式语言中，支撑官网连续叙事与高识别品牌呈现。","Using a modular「Key Visual System」design to unify the core propositions of multiple products/campaigns into consistent motion effects and layout language, supporting continuous website storytelling and highly recognizable brand presentation."
case.phases.phase-04.screens.products-oil.title,烟油产品系列,E-Liquid Product Series
case.phases.phase-04.screens.products-oil.content,"用「本地化包装系统」的模块化设计，把同一烟油产品按出口市场的语言版式、尼古丁含量标注、口味识别系统等差异，拆分为可复用、易调整的包装单元，满足多国合规要求与本地审美偏好。","Using a modular「localized packaging system」design to split the same e-liquid product into reusable and adjustable packaging units based on export market language formats, nicotine content labeling, and flavor identification systems, meeting multi-country compliance requirements and local aesthetic preferences."
case.phases.phase-04.screens.products-nano.title,Nano 产品系列,Nano Product Series
case.phases.phase-04.screens.products-nano.content,"用「既定模具下的工艺与配色体系」的模块化设计，在共用模具结构约束下，通过表面工艺、CMF 配色与图案印刷的组合变化，实现多产品差异化视觉表达。","Using a modular「craft and color system within fixed molds」design to achieve differentiated visual expression for multiple products through combinations of surface treatments, CMF color schemes, and pattern printing, within the constraints of shared mold structures."
