key,zh,en
case.phases.phase-06.title,文字可视化,Text Visualization
case.phases.phase-06.desc,"把「品牌叙事」变成「可复用的视觉模块」，适配「渠道物料、销售演示与客户沟通」。","Transforming brand narratives into reusable visual modules for channel materials, sales demos, and client communication."
case.phases.phase-06.screens.intro.content,"把「品牌叙事」变成「可复用的视觉模块」，适配「渠道物料、销售演示与客户沟通」。","Transforming brand narratives into reusable visual modules for channel materials, sales demos, and client communication."
case.phases.phase-06.screens.folder-01.content,"用「坐标定位模块」对比方案差异，渠道和客户一眼看懂「为什么选我们」。","Using coordinate positioning modules to compare solution differences — channels and clients instantly see 'why choose us.'"
case.phases.phase-06.screens.folder-02.content,"用「雷达图」把「口味、清洁、触感、功率、抽吸、风格」等体验维度模块化量化，让渠道用一张图完成「多机型卖点对比」。","Using radar charts to quantify experience dimensions like flavor, cleanliness, feel, power, draw, and style — enabling channels to compare multiple models at a glance."
case.phases.phase-06.screens.folder-03.content,"用「主机 + 两类烟弹方案」的组合模块，把不同使用场景与规格参数打包成「清晰版式」，方便渠道直接拿去「讲解与陈列」。","Using 'device + dual pod solution' combo modules to package different use cases and specs into clear layouts, ready for channel presentation and display."
case.phases.phase-06.screens.folder-04.content,"用「功能亮点 + 结构卖点 + 生态/社群 + 配色SKU」的模块化信息墙，把新品全貌打包成渠道可直接复用的「一页宣讲物料」。","Using a modular info wall of feature highlights, structural selling points, ecosystem/community, and color SKUs — packaging the full product picture into a one-page channel brief."
case.phases.phase-06.screens.folder-05.content,"用「三档模式」的参数分层模块，把「使用手感差异」翻译成清晰选项与对应收益，让客户按偏好快速选择、渠道按话术快速讲清。","Using a 'three-mode' parameter layering module to translate feel differences into clear options and benefits — letting clients choose by preference and channels explain by script."
case.phases.phase-06.screens.folder-06.content,"用「普通/静音」的状态切换模块，把使用情境（可见反馈 vs. 低打扰）讲成一眼能选的「功能卖点」，方便渠道按场景快速推荐。","Using a 'normal/silent' state-switching module to present usage scenarios (visible feedback vs. low disturbance) as instantly selectable selling points for scenario-based recommendations."
case.phases.phase-06.screens.folder-07.content,"用「核心卖点卡片 + 三步使用流程」的模块化版式，把功能型糖果的差异与上手方式「一屏讲清」，方便渠道快速培训、客户即看即会。","Using 'core selling point cards + 3-step usage flow' modular layout to explain functional candy differences and onboarding in one screen — easy for channel training and instant customer understanding."
case.phases.phase-06.screens.folder-08.content,"用「真实用户痛点证据墙」的模块化呈现，把旧品类的高频抱怨浓缩成「一屏共识」，为渠道铺垫清晰的「替代理由」。","Using a 'real user pain-point evidence wall' to condense frequent complaints about old categories into one-screen consensus, laying clear 'replacement reasons' for channels."
case.phases.phase-06.screens.folder-09.content,"用「Drops vs Pouches」对照表模块，把使用方式、便利性、口味与社交体验等差异「标准化对比」，让客户即看即懂、渠道即讲即卖。","Using a 'Drops vs Pouches' comparison table module to standardize differences in usage, convenience, flavor, and social experience — instant understanding for clients, instant selling for channels."
case.phases.phase-06.screens.folder-10.content,"用「高频人群场景卡」的模块化画像，把目标用户与使用情境打包成「可投放、可培训」的传播素材，帮助渠道快速找到「主推人群」。","Using 'high-frequency persona scenario cards' to package target users and use cases into deployable, trainable materials — helping channels quickly identify key audiences."
case.phases.phase-06.screens.folder-11.content,"用「消费演进时间线」模块把全球与本地的品类迁移路径串起来，帮助渠道快速理解「市场教育背景」与「新品出现的必然性」。","Using a 'consumption evolution timeline' module to connect global and local category migration paths — helping channels quickly grasp market education context and why new products are inevitable."
case.phases.phase-06.screens.folder-12.content,"用「趋势对齐 + 新品落点」的定位模块，把 Oi! 放进下一代形态的演进叙事中，一屏讲清「为什么现在、为什么是它」。","Using a 'trend alignment + product positioning' module to place Oi! within the next-gen evolution narrative — one screen explaining 'why now, why this.'"
case.phases.phase-06.screens.folder-13.content,"用「人群占比数据环 + 关键心智画像卡」的模块化表达，把目标市场的主力年龄层与购买动机「一屏讲清」，方便渠道快速锁定「主推人群」与「沟通话术」。","Using 'demographic data rings + key mindset profile cards' to present target market age groups and purchase motivations in one screen — helping channels quickly lock in key audiences and talking points."
case.phases.phase-06.screens.folder-14.content,"用「产品形态进化阶梯」的模块化对照，把体验升级与渠道利润逻辑按层级讲清，帮助渠道理解「为什么要从基础款走向触屏生态」。","Using a 'product evolution ladder' comparison to explain experience upgrades and channel profit logic tier by tier — helping channels understand the shift from basic to touchscreen ecosystem."
case.phases.phase-06.screens.folder-15.content,"用「核心功能 + 三套主题展示」的模块化版式，把触屏价值（清晰显示、个性化、实时信息）打包成可直接复用的「卖点物料」。","Using 'core features + three theme showcases' modular layout to package touchscreen value (clear display, personalization, real-time info) into ready-to-use selling materials."
case.phases.phase-06.screens.folder-16.content,"用「三档模式差异卡」的模块化表达，把抽吸强度与风味体验的选择路径做成一眼能选的「选购话术」，方便渠道快速推荐。","Using 'three-mode difference cards' to turn draw intensity and flavor experience choices into instantly selectable purchase scripts for quick channel recommendations."
case.phases.phase-06.screens.folder-17.content,"用「人群主张海报 + App 社群场景」的模块化叙事，把「新一代用户」与品牌社交价值一屏绑定，方便渠道讲清「加入理由与留存机制」。","Using 'audience manifesto posters + app community scenes' modular narrative to bind 'next-gen users' with brand social value in one screen — helping channels explain join reasons and retention."
case.phases.phase-06.screens.folder-18.content,"用「App 关键路径演示」的模块化页面，把注册、发现、关注与加好友流程「可视化打包」，支持渠道培训与客户快速上手。","Using 'app key path demos' modular pages to visually package registration, discovery, following, and friending flows — supporting channel training and quick customer onboarding."
case.phases.phase-06.screens.folder-19.content,"用「近场连接（NFC）场景」的模块化卖点，把线下社交触发与即时互动讲成一眼可懂的「功能价值」，方便渠道在终端做「体验引导」。","Using 'near-field connection (NFC) scenario' modular selling points to present offline social triggers and instant interaction as instantly understandable functional value for in-store experience guidance."
case.phases.phase-06.screens.folder-20.content,"用「会员权益 + 积分任务 + 奖励掉落」的模块化权益墙，把社群留存与复购机制可视化打包成「一屏福利叙事」，方便渠道直接讲清「加入能得到什么」。","Using 'membership benefits + point tasks + reward drops' modular benefits wall to visually package community retention and repurchase mechanisms into a one-screen benefits narrative — helping channels directly explain 'what you get by joining.'"
case.productEndHint.current,当前,Current
case.productEndHint.viewProduct,查看产品,View Product
case.productEndHint.currentlyViewing,当前浏览,Currently Viewing
