key,zh,en
case.phases.phase-03.title,MOTOR：系列一致性下的版本扩展与体验升级,MOTOR: Version Expansion & Experience Upgrade within Series Consistency
case.phases.phase-03.desc,"在保持系列识别一致的前提下，建立可扩展的版本迭代框架与体验升级组件。","Establishing an expandable version iteration framework and experience upgrade components while maintaining series recognition consistency."
case.phases.phase-03.screens.intro.content,"在保持系列识别一致的前提下，建立可扩展的版本迭代框架与体验升级组件。","Establishing an expandable version iteration framework and experience upgrade components while maintaining series recognition consistency."
case.phases.phase-03.screens.concept-comparison.title,产品差异对比：骨架延续与体验升级,Product Comparison: Framework Continuity & Experience Upgrade
case.phases.phase-03.screens.concept-comparison.content,"用「产品1 vs 产品2」的对照，把沿用的品牌骨架与新增的体验表达拆开说明，让差异一眼可读。","Using 'Product 1 vs Product 2' comparison to clearly separate inherited brand framework from new experience expressions, making differences instantly readable."
case.phases.phase-03.screens.concept-comparison.emphasis,不变与变化的平衡艺术,The art of balancing continuity and change
case.phases.phase-03.screens.concept-comparison.subtitle.unchanged,不变：延续品牌系统的骨架,Unchanged: Continuing the brand system framework
case.phases.phase-03.screens.concept-comparison.subtitle.changed,变化：通过 CMF 与细节做「合理升级」,Changed: 'Reasonable upgrades' through CMF and details
case.phases.phase-03.screens.concept-comparison.detail.logo,统一 Logo 位置与露出逻辑,Unified logo positioning and display logic
case.phases.phase-03.screens.concept-comparison.detail.texture,统一斜纹/纹理语言作为系列识别,Unified diagonal/texture language for series identification
case.phases.phase-03.screens.concept-comparison.detail.structure,统一整体比例与关键结构边界（在同一系统里迭代）,Unified overall proportions and key structural boundaries (iterating within the same system)
case.phases.phase-03.screens.concept-comparison.detail.styles,两条风格路线对比：理性功能导向的工业科技风 vs 情绪感知导向的未来消费电子风,Two style route comparison: rational function-oriented industrial tech style vs emotional perception-oriented future consumer electronics style
case.phases.phase-03.screens.concept-comparison.detail.borders,边框与金属件：黑色磨砂金属边框 vs 银色镜面金属边框,Borders and metal components: black matte metal frame vs silver mirror metal frame
case.phases.phase-03.screens.concept-comparison.detail.backplate,背板处理：低饱和度金属漆背板 vs 高饱和度金属漆背板,Backplate treatment: low saturation metallic paint vs high saturation metallic paint
case.phases.phase-03.screens.concept-comparison.detail.colors,配色策略：在同一系统中扩展更丰富、更情绪化的颜色组合,Color strategy: expanding richer and more emotional color combinations within the same system
case.phases.phase-03.screens.component-showcase.title,核心组件保持一致的设计语言,Core components maintain consistent design language
case.phases.phase-03.screens.component-showcase.content,"从主体结构到细节配件，设计遵循同一套视觉逻辑与比例原则。","From main structure to detail components, design follows the same visual logic and proportion principles."
case.phases.phase-03.screens.component-showcase.emphasis,一致性从组件层面开始建立,Consistency starts from the component level
case.phases.phase-03.screens.slide-grid.title,幻灯片展示,Slide Presentation
case.phases.phase-03.screens.slide-grid.content,"用「多国家 KV 套件」的模块化主视觉系统，在同一品牌骨架下替换人群、场景与语言信息，实现不同市场的快速适配与统一传播。","Using a modular「multi-country KV kit」key visual system to replace target audiences, scenes, and language information within the same brand framework, enabling rapid adaptation and unified communication across different markets."
case.phases.phase-03.screens.paired-document-grid.title,配对文档展示,Paired Document Display
